Temp,Humd,Label
526.0,435.0,0
439.0,364.0,0
593.0,453.0,0
503.0,404.0,0
493.0,318.0,0
410.0,472.0,0
323.0,534.0,0
559.0,439.0,0
351.0,455.0,0
446.0,567.0,0
598.0,472.0,0
440.0,380.0,0
343.0,441.0,0
383.0,357.0,0
558.0,382.0,0
540.0,597.0,0
566.0,351.0,0
483.0,312.0,0
561.0,359.0,0
581.0,419.0,0
599.0,467.0,0
410.0,314.0,0
380.0,436.0,0
519.0,585.0,0
497.0,525.0,0
535.0,351.0,0
414.0,513.0,0
307.0,570.0,0
386.0,439.0,0
415.0,441.0,0
429.0,441.0,0
470.0,592.0,0
413.0,354.0,0
312.0,533.0,0
465.0,538.0,0
504.0,373.0,0
449.0,503.0,0
493.0,519.0,0
498.0,422.0,0
538.0,559.0,0
444.0,529.0,0
466.0,549.0,0
537.0,390.0,0
339.0,370.0,0
469.0,336.0,0
518.0,310.0,0
460.0,443.0,0
389.0,400.0,0
310.0,447.0,0
574.0,541.0,0
402.0,328.0,0
474.0,488.0,0
596.0,449.0,0
478.0,450.0,0
540.0,498.0,0
524.0,370.0,0
321.0,410.0,0
542.0,475.0,0
597.0,568.0,0
336.0,335.0,0
348.0,475.0,0
345.0,411.0,0
494.0,444.0,0
397.0,467.0,0
384.0,467.0,0
331.0,457.0,0
314.0,581.0,0
371.0,324.0,0
392.0,499.0,0
344.0,543.0,0
453.0,547.0,0
566.0,322.0,0
470.0,471.0,0
337.0,466.0,0
510.0,469.0,0
335.0,454.0,0
479.0,514.0,0
328.0,416.0,0
454.0,350.0,0
316.0,426.0,0
363.0,543.0,0
303.0,344.0,0
465.0,585.0,0
442.0,487.0,0
413.0,364.0,0
570.0,529.0,0
493.0,535.0,0
341.0,600.0,0
475.0,580.0,0
313.0,378.0,0
365.0,485.0,0
403.0,414.0,0
600.0,514.0,0
