Temp,Humd,Label
24.0,24.0,1
24.0,24.0,1
24.0,24.0,1
24.0,24.0,1
24.0,24.0,1
24.0,24.0,1
24.0,24.0,1
24.0,24.0,1
24.0,24.0,1
24.0,24.0,1
24.0,24.0,1
24.0,24.0,1
24.0,24.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,23.0,1
24.0,22.0,1
24.0,22.0,1
24.0,22.0,1
24.0,22.0,1
24.0,22.0,1
24.0,22.0,1
24.0,22.0,1
24.0,22.0,1
24.0,22.0,1
24.0,22.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,21.0,1
24.0,20.0,1
24.0,21.0,1
24.0,20.0,1
24.0,21.0,1
24.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
23.0,20.0,1
381.0,348.0,0
563.0,333.0,0
559.0,444.0,0
587.0,325.0,0
408.0,546.0,0
587.0,347.0,0
373.0,484.0,0
